Epoch,Train Accuracy,Val Accuracy,Train Loss,Val Loss
1,0.8063695430755615,0.8248860239982605,0.6800103187561035,0.6122000217437744
2,0.8237645030021667,0.8248860239982605,0.6065282821655273,0.5925870537757874
3,0.823954164981842,0.8290258646011353,0.5850942134857178,0.5563791990280151
4,0.8260521292686462,0.834824800491333,0.5519704222679138,0.5162011384963989
5,0.8370976448059082,0.8512397408485413,0.5005556344985962,0.45566326379776
6,0.8470008969306946,0.8590598702430725,0.45866847038269043,0.4232521653175354
7,0.8538069725036621,0.8627172708511353,0.43086299300193787,0.40394431352615356
8,0.8596936464309692,0.8688571453094482,0.40901970863342285,0.38478443026542664
9,0.8667101860046387,0.8767347931861877,0.38591399788856506,0.3606443405151367
10,0.8717123866081238,0.8802642822265625,0.36944934725761414,0.3490777611732483
11,0.8758962750434875,0.8836875557899475,0.3555053174495697,0.3391196131706238
12,0.8783992528915405,0.886618971824646,0.34557875990867615,0.32998448610305786
13,0.8822561502456665,0.8887065052986145,0.3340299725532532,0.3251989483833313
14,0.8850681185722351,0.8912224173545837,0.32430094480514526,0.31307798624038696
15,0.8876656889915466,0.8944209218025208,0.31489479541778564,0.3022868037223816
16,0.8894445300102234,0.8952319622039795,0.3101551830768585,0.2982375919818878
17,0.8905197381973267,0.8945553302764893,0.3059459626674652,0.30138009786605835
18,0.8933828473091125,0.8975043892860413,0.2974570691585541,0.2882857918739319
19,0.893828809261322,0.8978558778762817,0.2951290011405945,0.2879607379436493
20,0.8956433534622192,0.8965272307395935,0.2888256013393402,0.28962817788124084
